FrameRecv	FrameStart	SystemTimestamp	Message
340	11.44743	16982608712234676	T0000d150J240000LdfffWW
340	11.44743	16982608712234676	T0000d16bJ170000L79bdWW
340	11.44743	16982608712289989	T0000d184J0d0000L5569WW
340	11.44743	16982608712325016	T0000d1a4J050000L3837WW
340	11.44743	16982608712325016	T0000d1c5J020000L2418BW
340	11.44743	16982608712364894	T0000d1e6J000000L1b00BB
340	11.44743	16982608712400297	T0000d207J000000L0f00BB
340	11.44743	16982608712440249	T0000d228J000000L0500BB
340	11.44743	16982608712485327	T0000d249J000000L0200BB
340	11.44743	16982608712485327	T0000d26aJ000000L0000BB
340	11.44743	16982608712520640	T0000d28bJ000000L0000BB
340	11.44743	16982608712571127	T0000d2acJ020000L6b39WW
340	11.44743	16982608712611306	T0000d2cdJ150000Lcca6WW
340	11.44743	16982608712661217	T0000d2eeJ1f0000LfaeeWW
340	11.44743	16982608712661217	T0000d30fJ230000LffffWW
340	11.44743	16982608712686288	T0000d330J280000LffffWW
340	11.44743	16982608712727317	T0000d351J2d0000LffffWW
340	11.44743	16982608712767211	T0000d372J3a0000LffffWW
340	11.44743	16982608712822592	T0000d393J300000LffffWW
340	11.44743	16982608712822592	T0000d3b4J300000LffffWW
340	11.44743	16982608712862487	T0000d3d5J2d0000LffffWW
340	11.44743	16982608712888128	T0000d3f6J360000LffffWW
340	11.44743	16982608712948062	T0000d417J310000LffffWW
340	11.44743	16982608712987952	T0000d438J310000LffffWW
340	11.44743	16982608713023077	T0000d459J3c0000LffffWW
340	11.44743	16982608713023077	T0000d47aJ330000LffffWW
340	11.44743	16982608713062967	T0000d49bJ310000LffffWW
340	11.44743	16982608713098464	T0000d4bcJ320000LffffWW
340	11.44743	16982608713143444	T0000d4ddJ310000LffffWW
340	11.44743	16982608713188463	T0000d4feJ310000LffffWW
340	11.44743	16982608713188463	T0000d51fJ3c0000LffffWW
340	11.44743	16982608713223753	T0000d540J370000LffffWW
340	11.44743	16982608713269053	T0000d561J3f0000LffffWW
340	11.44743	16982608713304305	T0000d582J310000LffffWW
340	11.44743	16982608713344233	T0000d5a3J360000LffffWW
340	11.44743	16982608713344233	T0000d5c4J310000LffffWW
340	11.44743	16982608713379206	T0000d5e5J310000LffffWW
340	11.44743	16982608713429517	T0000d606J2b0000LffffWW
340	11.44743	16982608713469433	T0000d627J310000LffffWW
340	11.44743	16982608713504438	T0000d648J310000LffffWW
340	11.44743	16982608713504438	T0000d669J370000LffffWW
340	11.44743	16982608713559398	T0000d68aJ3b0000LffffWW
340	11.44743	16982608713594385	T0000d6abJ330000LffffWW
340	11.44743	16982608713634801	T0000d6ccJ310000LffffWW
340	11.44743	16982608713674667	T0000d6edJ2d0000LffffWW
340	11.44743	16982608713674667	T0000d70eJ310000LffffWW
340	11.44743	16982608713719742	T0000d72fJ310000LffffWW
340	11.44743	16982608713754706	T0000d750J3c0000LffffWW
340	11.44743	16982608713789709	T0000d771J310000LffffWW
340	11.44743	16982608713830156	T0000d792J310000LffffWW
340	11.44743	16982608713830156	T0000d7b3J2d0000LffffWW
340	11.44743	16982608713890160	T0000d7d4J370000LffffWW
340	11.44743	16982608713920160	T0000d7f5J310000LffffWW
340	11.44743	16982608713965378	T0000d816J310000LffffWW
340	11.44743	16982608714000382	T0000d837J3b0000LffffWW
340	11.44743	16982608714000382	T0000d858J330000LffffWW
340	11.44743	16982608714040339	T0000d879J310000LffffWW
340	11.44743	16982608714090417	T0000d89aJ310000LffffWW
340	11.44743	16982608714120475	T0000d8bbJ310000LffffWW
340	11.44743	16982608714160345	T0000d8dcJ310000LffffWW
340	11.44743	16982608714220544	T0000d8fdJ3a0000LffffWW
340	11.44743	16982608714220544	T0000d91eJ370000LffffWW
340	11.44743	16982608714250576	T0000d93fJ3d0000LffffWW
340	11.44743	16982608714285572	T0000d960J310000LffffWW
340	11.44743	16982608714335568	T0000d981J350000LffffWW
340	11.44743	16982608714370561	T0000d9a2J300000LffffWW
340	11.44743	16982608714370561	T0000d9c3J310000LffffWW
340	11.44743	16982608714415882	T0000d9e4J2a0000LffffWW
340	11.44743	16982608714455775	T0000da05J300000LffffWW
340	11.44743	16982608714490766	Reward 2: 0000da1d 00fa
340	11.44743	16982608714490766	T0000da35J380000LffffWW
340	11.44743	16982608714536177	T0000da4fJ370000LffffWW
340	11.44743	16982608714536177	T0000da69J330000LffffWW
340	11.44743	16982608714586105	T0000da89J320000LffffWW
340	11.44743	16982608714621304	T0000daaaJ320000LffffWW
340	11.44743	16982608714661194	T0000dacbJ320000LffffWW
340	11.44743	16982608714696428	T0000daecJ340000LffffWW
340	11.44743	16982608714696428	T0000db0dJ320000LffffWW
340	11.44743	16982608714736368	T0000db2eJ3b0000LffffWW
340	11.44743	16982608714776272	T0000db4fJ300000LffffWW
340	11.44743	16982608714821294	T0000db70J300000LffffWW
340	11.44743	16982608714861170	T0000db91J2d0000LffffWW
340	11.44743	16982608714861170	T0000dbb2J360000LffffWW
340	11.44743	16982608714896486	T0000dbd3J300000LffffWW
340	11.44743	16982608714936478	T0000dbf4J300000LffffWW
340	11.44743	16982608714976373	T0000dc15J3e0000LffffWW
340	11.44743	16982608715021423	T0000dc36J300000LffffWW
340	11.44743	16982608715021423	T0000dc57J300000LffffWW
340	11.44743	16982608715061319	T0000dc78J340000LffffWW
340	11.44743	16982608715116426	T0000dc99J300000LffffWW
340	11.44743	16982608715156325	T0000dcbaJ300000LffffWW
340	11.44743	16982608715186507	T0000dcdbJ3e0000LffffWW
340	11.44743	16982608715186507	T0000dcfcJ360000LffffWW
340	11.44743	16982608715231838	T0000dd1dJ2b0000LffffWW
340	11.44743	16982608715267212	T0000dd3eJ300000LffffWW
340	11.44743	16982608715322385	T0000dd5fJ3b0000LffffWW
340	11.44743	16982608715362141	T0000dd80J300000LffffWW
340	11.44743	16982608715362141	T0000dda1J300000LffffWW
340	11.44743	16982608715387214	T0000ddc2J300000LffffWW
340	11.44743	16982608715437239	T0000dde3J300000LffffWW
340	11.44743	16982608715472229	T0000de04J300000LffffWW
340	11.44743	16982608715517527	T0000de25J380000LffffWW
340	11.44743	16982608715562553	T0000de46J360000LffffWW
340	11.44743	16982608715562553	T0000de67J3b0000LffffWW
340	11.44743	16982608715597669	T0000de88J300000LffffWW
340	11.44743	16982608715637636	T0000dea9J330000LffffWW
340	11.44743	16982608715677527	T0000decaJ300000LffffWW
340	11.44743	16982608715732440	T0000deebJ300000LffffWW
340	11.44743	16982608715732440	T0000df0cJ2a0000LffffWW
340	11.44743	16982608715772333	T0000df2dJ300000LffffWW
340	11.44743	16982608715797402	T0000df4eJ300000LffffWW
340	11.44743	16982608715837471	T0000df6fJ320000LffffWW
340	11.44743	16982608715892299	T0000df90J360000LffffWW
340	11.44743	16982608715892299	T0000dfb1J340000LffffWW
340	11.44743	16982608715922318	T0000dfd2J300000LffffWW
340	11.44743	16982608715962195	T0000dff3J2f0000LffffWW
340	11.44743	16982608716017629	T0000e014J300000LffffWW
340	11.44743	16982608716047611	T0000e035J300000LffffWW
340	11.44743	16982608716047611	T0000e056J3d0000LffffWW
340	11.44743	16982608716087504	T0000e077J300000LffffWW
340	11.44743	16982608716142734	T0000e098J300000LffffWW
340	11.44743	16982608716187742	T0000e0b9J2d0000LffffWW
340	11.44743	16982608716213126	T0000e0daJ360000LffffWW
340	11.44743	16982608716213126	T0000e0fbJ300000LffffWW
340	11.44743	16982608716263190	T0000e11cJ2f0000LffffWW
340	11.44743	16982608716288243	T0000e13dJ280000LffffWW
340	11.44743	16982608716328462	T0000e15eJ2f0000LffffWW
340	11.44743	16982608716388308	T0000e17fJ300000LffffWW
340	11.44743	16982608716388308	T0000e1a0J340000LffffWW
340	11.44743	16982608716418390	T0000e1c1J2f0000LffffWW
340	11.44743	16982608716468288	T0000e1e2J2f0000LffffWW
